2023-01-11 12:19:05,Fixed Breaks,27,664-429-5949,zvKlEq9IsY3C92j429O1
2023-03-02 00:17:49,Fixed Breaks,28,664-429-5949,rUW1HmROe7E3sjWVqeCg
2023-03-02 17:27:09,Fixed Breaks,6,664-429-5949,Y8Msbpd3ldTkoFW2n7sd
2023-02-06 07:03:50,Fixed Breaks,15,664-429-5949,XjLKjp7K8q4XIAKkB7ws
2022-10-05 19:11:38,Fixed Breaks,10,664-429-5949,ZrQSWXFpaBiPpubDdWrv
2022-05-14 05:48:58,Fixed Breaks,17,664-429-5949,eGLTS8f6WuGgzDv0pi9a
2022-04-28 06:03:41,Fixed Breaks,48,934-972-5979,Ioo8dZ3aSiBYm7hLJETD
2022-05-16 20:34:21,Fixed Breaks,15,934-972-5979,zz6T3NyH1mLPEgkkvlhN
2022-12-20 12:01:45,Fixed Breaks,37,934-972-5979,s6hi3J8N1GpMT0k2R4mu
2023-01-07 10:13:57,Fixed Breaks,17,934-972-5979,4B5vI4gVMn9pmRr1JEVy
2022-11-13 06:44:16,Fixed Breaks,22,934-972-5979,9ZEa1OWJKBptfdFk5V8o
2022-11-26 13:10:38,Fixed Breaks,33,735-529-2117,Me5mWYX7x3dUJ2aFR66z
2022-10-16 09:27:06,Fixed Breaks,5,735-529-2117,F3Z693Dym7ZRc7AlQvqR
2022-07-18 06:49:06,Fixed Breaks,12,735-529-2117,MBeoRSk203VRPw3GNSY6
2022-10-01 13:18:00,Fixed Breaks,16,735-529-2117,0KaYL7emyjn5Zlxsm4uU
2022-06-22 22:28:05,Fixed Breaks,23,735-529-2117,K2r3SEd200wTZqWLbXQ2
2022-07-13 21:20:12,Fixed Breaks,21,735-529-2117,XeaNCSmQtQiXePiyHdJ3
2023-02-01 06:25:13,Fixed Breaks,40,735-529-2117,67C09BuwXXdMw7MxHBjM
2023-02-08 19:46:50,Fixed Breaks,31,735-529-2117,pSWO2Roi3KPfBWubIhh4
2023-02-16 08:31:03,Fixed Breaks,8,735-529-2117,yA2fOxXCJ3Bxk1lOaEEL
